id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
122,2,D,4DoF,2.0,2.0,0.23638856410980225,4.041121959686279,3.344266414642334,0.6968556642532349,61.9259,2,unimanual,0.19385073170574105,4,1
122,2,D,6DoF,3.0,7.0,0.20676125586032867,4.1713361740112305,3.4418952465057373,0.7294407486915588,49.309,1,bimanual,0.12173471975653055,6,1
124,0,A,4DoF,3.0,3.0,0.21865026652812958,3.0430171489715576,2.831439971923828,0.21157722175121307,71.5888,1,unimanual,0.18165101207560036,7,0
124,0,A,6DoF,1.0,5.0,0.22675274312496185,2.934112787246704,2.818577527999878,0.11553547531366348,24.1871,2,bimanual,0.2482899032910827,8,1
124,0,B,4DoF,2.0,2.0,0.2286873608827591,3.137906551361084,2.820347547531128,0.31755924224853516,92.7007,1,unimanual,0.18343020966072965,6,1
124,0,B,6DoF,3.0,7.0,0.21215949952602386,3.1267688274383545,2.853945016860962,0.2728240489959717,66.0458,2,bimanual,0.10602092853129208,6,1
124,0,C,4DoF,0.0,0.0,0.20888611674308777,3.348036289215088,2.8505685329437256,0.49746739864349365,88.6135,1,unimanual,0.15804975810540967,7,2
124,0,C,6DoF,2.0,6.0,0.2193755805492401,3.229889154434204,2.828796148300171,0.40109312534332275,150.3961,2,bimanual,0.15979868145244497,9,2
124,0,D,4DoF,1.0,1.0,0.20943263173103333,3.2047107219696045,2.8483169078826904,0.3563937246799469,102.8386,1,unimanual,0.15561553237532522,8,2
124,0,D,6DoF,0.0,4.0,0.21523882448673248,3.1784119606018066,2.836135149002075,0.34227657318115234,89.8126,2,bimanual,0.06682258603407952,8,1
125,1,A,4DoF,0.0,4.0,0.2499629259109497,4.123043060302734,3.747559070587158,0.37548428773880005,57.4391,1,bimanual,0.17416717610565677,0,0
125,1,A,6DoF,1.0,1.0,0.2325611710548401,4.002073764801025,3.7932960987091064,0.20877781510353088,90.633,2,unimanual,0.1986485278488682,2,1
125,1,B,4DoF,1.0,5.0,0.2416132241487503,4.031860828399658,3.7992160320281982,0.23264440894126892,53.1748,1,bimanual,0.15050805876587153,1,0
